PSNR,SSIM,Colorfulness_pred,Colorfulness_gt
19.799668155599825,0.859190726749317,0,0
26.95446251390552,0.8027750718532882,0,0
19.456989355997344,0.8418578500378698,0,0
29.15983732862626,0.8238813151944933,0,0
25.220771335069735,0.38899087850596076,0,0
22.005660190950493,0.9218273128462077,0,0
18.895851911228135,0.8111021328529757,0,0
18.547973896711078,0.908872392840415,0,0
22.01564831341581,0.8138863628052676,0,0
25.55025079910786,0.7970740835633624,0,0
22.044234127619376,0.9090751401132398,0,0
22.74536122025454,0.754660278303549,0,0
15.696176813044495,0.6193174385455976,0,0
24.823186108262206,0.7906153545714273,0,0
27.83003105327662,0.8485924979059764,0,0
27.38381368843934,0.9099059957838719,0,0
25.78399989506741,0.8784358935326017,0,0
18.303657810223562,0.7121138428162226,0,0
27.139455714485152,0.7966587516097091,0,0
15.252623072629278,0.5416995935683641,0,0
21.653584656306712,0.5772687756249111,0,0
23.671875113692735,0.5487762310517169,0,0
25.970971649003808,0.7755150362020903,0,0
16.09599888782212,0.3099684578815805,0,0
25.630442652097297,0.8484330771676923,0,0
24.05935512818327,0.7820631241772517,0,0
20.677910298279638,0.6501252069692415,0,0
18.191762524646077,0.6759378566649791,0,0
24.13135624897462,0.671176248776995,0,0
24.468195442461486,0.6976262634109744,0,0
26.05079078276296,0.5651922211558136,0,0
27.15744857271131,0.7582542938239047,0,0
24.910381815324577,0.5359101891361783,0,0
22.937159706700207,0.6332390111483087,0,0
18.973862191640436,0.7456567433970697,0,0
19.329734459551457,0.6533171469865502,0,0
22.50792714943025,0.5286521928549005,0,0
22.165363257713295,0.6203946190097916,0,0
23.029656676819627,0.4416852272004501,0,0
18.991153612174116,0.7039481854034909,0,0
19.620491473304128,0.68256229971553,0,0
25.096323687586562,0.5695855882046817,0,0
19.94346504728044,0.7057747248906736,0,0
24.921698175336413,0.7775322633690593,0,0
25.33404167357815,0.5743090655120687,0,0
18.550759903000785,0.6962682690142383,0,0
25.869165576543654,0.7356046471170448,0,0
20.366898255505852,0.6666121192941459,0,0
24.034446300287577,0.6132202364827621,0,0
16.56214782237611,0.6324053384669774,0,0
