Iteration,L1_loss,Feature_loss,MS_SSIM,Iter_LR
100,0.2045314908027649,-1,0.5073738694190979,0.0001
200,0.07363703846931458,-1,0.23838889598846436,0.0001
300,0.0872780978679657,-1,0.319858193397522,0.0001
400,0.12385936081409454,-1,0.38294267654418945,0.0001
500,0.13225851953029633,-1,0.33319103717803955,0.0001
600,0.10573329776525497,-1,0.34052038192749023,0.0001
700,0.08166029304265976,-1,0.28902626037597656,0.0001
800,0.10646971315145493,-1,0.20396101474761963,0.0001
900,0.11091417074203491,-1,0.22556817531585693,0.0001
1000,0.10014104843139648,-1,0.16487175226211548,0.0001
1100,0.12975333631038666,-1,0.3022070527076721,0.0001
1200,0.12255751341581345,-1,0.253930926322937,0.0001
1300,0.08900268375873566,-1,0.22666436433792114,0.0001
1400,0.06964077055454254,-1,0.20589548349380493,0.0001
1500,0.0731934979557991,-1,0.30441081523895264,0.0001
1600,0.055624864995479584,-1,0.21236002445220947,0.0001
1700,0.11866136640310287,-1,0.2745649814605713,0.0001
1800,0.1241702064871788,-1,0.26492607593536377,0.0001
1900,0.11476302146911621,-1,0.284176230430603,0.0001
2000,0.10015895217657089,-1,0.27472150325775146,0.0001
2100,0.04520419239997864,-1,0.18698269128799438,0.0001
2200,0.11521254479885101,-1,0.1897485852241516,0.0001
2300,0.09416204690933228,-1,0.24727976322174072,0.0001
2400,0.07159315049648285,-1,0.27557289600372314,0.0001
2500,0.08941423892974854,-1,0.28055310249328613,0.0001
2600,0.0671391710639,-1,0.21318817138671875,0.0001
2700,0.08239525556564331,-1,0.2540616989135742,0.0001
2800,0.0896168202161789,-1,0.259197473526001,0.0001
2900,0.0918719619512558,-1,0.2870326042175293,0.0001
3000,0.07308636605739594,-1,0.242348313331604,0.0001
3100,0.10335575044155121,-1,0.25193798542022705,0.0001
3200,0.07142364978790283,-1,0.20064932107925415,0.0001
3300,0.06968679279088974,-1,0.31925177574157715,0.0001
3400,0.08878418058156967,-1,0.2638252377510071,0.0001
3500,0.07110263407230377,-1,0.2326856255531311,0.0001
3600,0.0687544047832489,-1,0.24785614013671875,0.0001
3700,0.10175593942403793,-1,0.26177865266799927,0.0001
3800,0.08562888205051422,-1,0.1934521198272705,0.0001
3900,0.11096887290477753,-1,0.2416999340057373,0.0001
4000,0.08407559245824814,-1,0.23481541872024536,0.0001
4100,0.07299693673849106,-1,0.17703258991241455,0.0001
4200,0.08209429681301117,-1,0.2757790684700012,0.0001
4300,0.08311520516872406,-1,0.19420528411865234,0.0001
4400,0.06999514997005463,-1,0.2548597455024719,0.0001
4500,0.060030873864889145,-1,0.24070119857788086,0.0001
4600,0.08890706300735474,-1,0.20391559600830078,0.0001
4700,0.08387023210525513,-1,0.24103742837905884,0.0001
4800,0.0951005071401596,-1,0.24630630016326904,0.0001
4900,0.07531464099884033,-1,0.18972140550613403,0.0001
5000,0.06554597616195679,-1,0.21363455057144165,0.0001
5100,0.06846217811107635,-1,0.16009074449539185,0.0001
5200,0.07411397993564606,-1,0.2248740792274475,0.0001
5300,0.06326963007450104,-1,0.21102499961853027,0.0001
5400,0.0854528546333313,-1,0.2642935514450073,0.0001
5500,0.09035422652959824,-1,0.2573883533477783,0.0001
5600,0.07689445465803146,-1,0.25240832567214966,0.0001
5700,0.0700748935341835,-1,0.20338356494903564,0.0001
