Iteration,L1_loss,Feature_loss,MS_SSIM,Iter_LR
100,0.1730625182390213,-1,0.5283970832824707,0.0001
200,0.10919302701950073,-1,0.45185017585754395,0.0001
300,0.11599382758140564,-1,0.3592666983604431,0.0001
400,0.08668235689401627,-1,0.25707942247390747,0.0001
500,0.0836324468255043,-1,0.19214826822280884,0.0001
600,0.131395623087883,-1,0.2734922766685486,0.0001
700,0.10589238256216049,-1,0.3059101104736328,0.0001
800,0.07866796851158142,-1,0.28679436445236206,0.0001
900,0.08880016207695007,-1,0.37198930978775024,0.0001
1000,0.08990991115570068,-1,0.25573498010635376,0.0001
1100,0.12158621102571487,-1,0.307125985622406,0.0001
1200,0.0996769443154335,-1,0.26344865560531616,0.0001
1300,0.07931382209062576,-1,0.21445602178573608,0.0001
1400,0.078862264752388,-1,0.2692267894744873,0.0001
1500,0.10123831778764725,-1,0.2851710915565491,0.0001
1600,0.10294357687234879,-1,0.28194576501846313,0.0001
1700,0.12746351957321167,-1,0.33410412073135376,0.0001
1800,0.14290916919708252,-1,0.2204168438911438,0.0001
1900,0.08624406903982162,-1,0.21669507026672363,0.0001
2000,0.09911620616912842,-1,0.24640923738479614,0.0001
2100,0.03407503291964531,-1,0.08592027425765991,0.0001
2200,0.13827331364154816,-1,0.24696356058120728,0.0001
2300,0.09254968166351318,-1,0.21637296676635742,0.0001
2400,0.11207026243209839,-1,0.31254029273986816,0.0001
2500,0.11489694565534592,-1,0.19498759508132935,0.0001
2600,0.09208855777978897,-1,0.18543338775634766,0.0001
2700,0.09705110639333725,-1,0.23976141214370728,0.0001
2800,0.12496545165777206,-1,0.2622233033180237,0.0001
2900,0.1186010017991066,-1,0.17080330848693848,0.0001
3000,0.12622873485088348,-1,0.29253751039505005,0.0001
3100,0.08465101569890976,-1,0.25274890661239624,0.0001
3200,0.09721062332391739,-1,0.1786196231842041,0.0001
3300,0.06848073750734329,-1,0.20039910078048706,0.0001
3400,0.07706455141305923,-1,0.22193455696105957,0.0001
3500,0.06851772218942642,-1,0.22401976585388184,0.0001
3600,0.09766837954521179,-1,0.22347593307495117,0.0001
3700,0.07979247719049454,-1,0.19337362051010132,0.0001
3800,0.09785399585962296,-1,0.3023908734321594,0.0001
3900,0.08170362561941147,-1,0.16838663816452026,0.0001
4000,0.09598889946937561,-1,0.23757070302963257,0.0001
4100,0.07498426735401154,-1,0.18057936429977417,0.0001
4200,0.17427247762680054,-1,0.17989712953567505,0.0001
4300,0.10305548459291458,-1,0.18309235572814941,0.0001
4400,0.10243292897939682,-1,0.27368253469467163,0.0001
4500,0.11579962819814682,-1,0.19088906049728394,0.0001
4600,0.10787836462259293,-1,0.22816497087478638,0.0001
4700,0.10558947920799255,-1,0.24685615301132202,0.0001
4800,0.07798469066619873,-1,0.14924734830856323,0.0001
4900,0.10470490902662277,-1,0.1999657154083252,0.0001
5000,0.09992802888154984,-1,0.2516363263130188,0.0001
5100,0.07423210144042969,-1,0.15335971117019653,0.0001
5200,0.0838770866394043,-1,0.1818709373474121,0.0001
5300,0.12242082506418228,-1,0.22491377592086792,0.0001
5400,0.09607246518135071,-1,0.2043558955192566,0.0001
5500,0.08535969257354736,-1,0.1979425549507141,0.0001
5600,0.06750020384788513,-1,0.21243572235107422,0.0001
5700,0.09601672738790512,-1,0.1805376410484314,0.0001
5800,0.10995814949274063,-1,0.18050909042358398,0.0001
5900,0.08980107307434082,-1,0.2349541187286377,0.0001
6000,0.1277398318052292,-1,0.21103858947753906,0.0001
6100,0.07756255567073822,-1,0.2212093472480774,0.0001
6200,0.05363084375858307,-1,0.19205236434936523,0.0001
6300,0.049054309725761414,-1,0.3464757800102234,0.0001
6400,0.10609549283981323,-1,0.26620960235595703,0.0001
6500,0.08585867285728455,-1,0.21806150674819946,0.0001
6600,0.09340427070856094,-1,0.1770380139350891,0.0001
6700,0.07754238694906235,-1,0.24593257904052734,0.0001
6800,0.08043266832828522,-1,0.1797468662261963,0.0001
6900,0.07560891658067703,-1,0.26326698064804077,0.0001
7000,0.08991099148988724,-1,0.20781713724136353,0.0001
7100,0.11025812476873398,-1,0.21523743867874146,0.0001
7200,0.06278236955404282,-1,0.19280070066452026,0.0001
7300,0.07528407871723175,-1,0.1590215563774109,0.0001
7400,0.11553715914487839,-1,0.3001132011413574,0.0001
7500,0.08577849715948105,-1,0.1526625156402588,0.0001
7600,0.08529409021139145,-1,0.19714349508285522,0.0001
7700,0.085129015147686,-1,0.21047884225845337,0.0001
7800,0.09597892314195633,-1,0.2696987986564636,0.0001
7900,0.09708993881940842,-1,0.23926639556884766,0.0001
8000,0.08196523040533066,-1,0.19145435094833374,0.0001
8100,0.10168609768152237,-1,0.16769027709960938,0.0001
8200,0.13091132044792175,-1,0.16847103834152222,0.0001
8300,0.07806450873613358,-1,0.16853481531143188,0.0001
8400,0.0738043487071991,-1,0.12522882223129272,0.0001
8500,0.08386144787073135,-1,0.16367340087890625,0.0001
8600,0.14223693311214447,-1,0.2104594111442566,0.0001
8700,0.06907836347818375,-1,0.21900057792663574,0.0001
8800,0.0964713767170906,-1,0.2856162190437317,0.0001
8900,0.05419084429740906,-1,0.1600518822669983,0.0001
9000,0.07348188757896423,-1,0.22750061750411987,0.0001
9100,0.10901159793138504,-1,0.26434236764907837,0.0001
9200,0.07254446297883987,-1,0.2249571681022644,0.0001
9300,0.07137435674667358,-1,0.17793530225753784,0.0001
9400,0.10710734874010086,-1,0.1715295910835266,0.0001
9500,0.09403494000434875,-1,0.26087337732315063,0.0001
9600,0.07103642076253891,-1,0.19924908876419067,0.0001
9700,0.10463517904281616,-1,0.18877524137496948,0.0001
9800,0.12294477969408035,-1,0.20738649368286133,0.0001
9900,0.060615528374910355,-1,0.1616528034210205,0.0001
10000,0.08175301551818848,-1,0.24420803785324097,0.0001
10100,0.14610880613327026,-1,0.22443431615829468,0.0001
10200,0.14340358972549438,-1,0.20410585403442383,0.0001
10300,0.08784505724906921,-1,0.17423033714294434,0.0001
10400,0.08811860531568527,-1,0.24090629816055298,0.0001
10500,0.05774776637554169,-1,0.13463908433914185,0.0001
10600,0.08797723054885864,-1,0.1999710202217102,0.0001
10700,0.07863528281450272,-1,0.1434890627861023,0.0001
10800,0.08736476302146912,-1,0.21610164642333984,0.0001
10900,0.14058613777160645,-1,0.21394842863082886,0.0001
11000,0.09871453791856766,-1,0.14882367849349976,0.0001
11100,0.09755314141511917,-1,0.19829654693603516,0.0001
11200,0.1018415316939354,-1,0.19981414079666138,0.0001
11300,0.09509265422821045,-1,0.1951705813407898,0.0001
11400,0.0694357231259346,-1,0.13536638021469116,0.0001
11500,0.09277411550283432,-1,0.30264657735824585,0.0001
11600,0.07701577991247177,-1,0.2084980607032776,0.0001
11700,0.06889616698026657,-1,0.18041688203811646,0.0001
11800,0.069853276014328,-1,0.17569297552108765,0.0001
11900,0.07700362801551819,-1,0.2649696469306946,0.0001
12000,0.08297193795442581,-1,0.2123546004295349,0.0001
12100,0.10413307696580887,-1,0.23579376935958862,0.0001
12200,0.06415203958749771,-1,0.20340794324874878,0.0001
12300,0.0835297703742981,-1,0.22479039430618286,0.0001
12400,0.08585008233785629,-1,0.18936032056808472,0.0001
12500,0.08358778804540634,-1,0.15908098220825195,0.0001
12600,0.06784256547689438,-1,0.07353037595748901,0.0001
12700,0.12491688877344131,-1,0.23841053247451782,0.0001
12800,0.10861774533987045,-1,0.16389966011047363,0.0001
12900,0.11113789677619934,-1,0.2496066689491272,0.0001
13000,0.1180485188961029,-1,0.18421721458435059,0.0001
13100,0.07305064797401428,-1,0.19664788246154785,0.0001
13200,0.08265290409326553,-1,0.261574923992157,0.0001
13300,0.10037127882242203,-1,0.17474746704101562,0.0001
13400,0.088115394115448,-1,0.10938388109207153,0.0001
13500,0.07696788758039474,-1,0.19671505689620972,0.0001
13600,0.08287409693002701,-1,0.1860675811767578,0.0001
13700,0.10807079076766968,-1,0.20751136541366577,0.0001
13800,0.10513490438461304,-1,0.14219427108764648,0.0001
13900,0.06879409402608871,-1,0.23751598596572876,0.0001
14000,0.060252103954553604,-1,0.1671578288078308,0.0001
14100,0.11559795588254929,-1,0.2693706154823303,0.0001
14200,0.07441815733909607,-1,0.1724671721458435,0.0001
14300,0.13130611181259155,-1,0.2290080189704895,0.0001
14400,0.09861002117395401,-1,0.15551823377609253,0.0001
14500,0.07572255283594131,-1,0.19117146730422974,0.0001
14600,0.1318138837814331,-1,0.21928530931472778,0.0001
14700,0.08947949856519699,-1,0.12130051851272583,0.0001
14800,0.0876145139336586,-1,0.17708683013916016,0.0001
14900,0.10824074596166611,-1,0.22643274068832397,0.0001
15000,0.12795542180538177,-1,0.2221331000328064,0.0001
15100,0.08536231517791748,-1,0.1265363097190857,0.0001
15200,0.07945725321769714,-1,0.19585198163986206,0.0001
15300,0.11515971273183823,-1,0.30585336685180664,0.0001
15400,0.0819706991314888,-1,0.19936126470565796,0.0001
15500,0.1042407751083374,-1,0.27953052520751953,0.0001
15600,0.09376797825098038,-1,0.1891767382621765,0.0001
15700,0.1113399863243103,-1,0.2298101782798767,0.0001
15800,0.13148713111877441,-1,0.22967177629470825,0.0001
15900,0.09995170682668686,-1,0.23994040489196777,0.0001
16000,0.10001867264509201,-1,0.24056226015090942,0.0001
16100,0.0850435122847557,-1,0.16933822631835938,0.0001
16200,0.09844253212213516,-1,0.20159941911697388,0.0001
16300,0.0804397389292717,-1,0.18466967344284058,0.0001
16400,0.08945420384407043,-1,0.26373618841171265,0.0001
16500,0.09167525917291641,-1,0.25171971321105957,0.0001
16600,0.10158120840787888,-1,0.2549899220466614,0.0001
16700,0.06529388576745987,-1,0.19786971807479858,0.0001
16800,0.09233889728784561,-1,0.16611641645431519,0.0001
16900,0.08159565925598145,-1,0.16305691003799438,0.0001
17000,0.10877557843923569,-1,0.2771584391593933,0.0001
17100,0.08866610378026962,-1,0.2051258087158203,0.0001
17200,0.07347046583890915,-1,0.22878408432006836,0.0001
17300,0.14080771803855896,-1,0.16919654607772827,0.0001
17400,0.12808912992477417,-1,0.17875486612319946,0.0001
17500,0.07860131561756134,-1,0.19181901216506958,0.0001
17600,0.07791299372911453,-1,0.23332929611206055,0.0001
17700,0.14867480099201202,-1,0.20971983671188354,0.0001
17800,0.07948323339223862,-1,0.23210781812667847,0.0001
17900,0.07537288963794708,-1,0.2118348479270935,0.0001
18000,0.08060257881879807,-1,0.2207987904548645,0.0001
18100,0.06796751916408539,-1,0.18645673990249634,0.0001
18200,0.13473248481750488,-1,0.233930766582489,0.0001
18300,0.0773688331246376,-1,0.18146151304244995,0.0001
18400,0.0758286789059639,-1,0.15480566024780273,0.0001
18500,0.07398170977830887,-1,0.21318554878234863,0.0001
18600,0.11735182255506516,-1,0.20438247919082642,0.0001
18700,0.09904590994119644,-1,0.24356555938720703,0.0001
18800,0.07590268552303314,-1,0.2348964810371399,0.0001
18900,0.09623492509126663,-1,0.16985219717025757,0.0001
19000,0.10132481902837753,-1,0.24960851669311523,0.0001
19100,0.0636693686246872,-1,0.17482739686965942,0.0001
19200,0.0660564973950386,-1,0.15827208757400513,0.0001
19300,0.10104576498270035,-1,0.212030827999115,0.0001
19400,0.10133471339941025,-1,0.20998382568359375,0.0001
19500,0.06245307996869087,-1,0.12364429235458374,0.0001
19600,0.08498493582010269,-1,0.19770145416259766,0.0001
19700,0.07457084208726883,-1,0.19928640127182007,0.0001
19800,0.08571556955575943,-1,0.20362502336502075,0.0001
19900,0.11869227886199951,-1,0.22456210851669312,0.0001
20000,0.09123966097831726,-1,0.21735715866088867,0.0001
20100,0.08723766356706619,-1,0.17060357332229614,0.0001
20200,0.07732781022787094,-1,0.16338437795639038,0.0001
20300,0.07153453677892685,-1,0.26709645986557007,0.0001
20400,0.10141368955373764,-1,0.2826426029205322,0.0001
20500,0.07117455452680588,-1,0.17246222496032715,0.0001
20600,0.08229317516088486,-1,0.24620699882507324,0.0001
20700,0.08733716607093811,-1,0.19709914922714233,0.0001
20800,0.071651391685009,-1,0.2010776400566101,0.0001
20900,0.10045471042394638,-1,0.2304946780204773,0.0001
21000,0.05515199899673462,-1,0.0670284628868103,0.0001
21100,0.11474191397428513,-1,0.32407253980636597,0.0001
21200,0.12110209465026855,-1,0.17184996604919434,0.0001
21300,0.08359790593385696,-1,0.1930944323539734,0.0001
21400,0.07487166672945023,-1,0.24273496866226196,0.0001
21500,0.1261332482099533,-1,0.17136502265930176,0.0001
21600,0.08733711391687393,-1,0.2753887176513672,0.0001
21700,0.10024812072515488,-1,0.24153751134872437,0.0001
21800,0.06327034533023834,-1,0.13980740308761597,0.0001
21900,0.07528728991746902,-1,0.20494550466537476,0.0001
22000,0.08701486140489578,-1,0.17528027296066284,0.0001
22100,0.06538991630077362,-1,0.14266854524612427,0.0001
22200,0.12460765242576599,-1,0.28365278244018555,0.0001
22300,0.09604188799858093,-1,0.23023492097854614,0.0001
22400,0.10813966393470764,-1,0.24427837133407593,0.0001
22500,0.09660591930150986,-1,0.19997960329055786,0.0001
22600,0.1115306094288826,-1,0.1684700846672058,0.0001
22700,0.1113579273223877,-1,0.26867347955703735,0.0001
22800,0.08499902486801147,-1,0.20457643270492554,0.0001
22900,0.0911845937371254,-1,0.2545757293701172,0.0001
23000,0.09135880321264267,-1,0.18690413236618042,0.0001
23100,0.10295362025499344,-1,0.38730430603027344,0.0001
23200,0.11207330226898193,-1,0.18901485204696655,0.0001
23300,0.0654464140534401,-1,0.23071104288101196,0.0001
23400,0.09822192788124084,-1,0.21096259355545044,0.0001
23500,0.10280367732048035,-1,0.22267693281173706,0.0001
23600,0.07087481021881104,-1,0.18462103605270386,0.0001
23700,0.07072141021490097,-1,0.19020217657089233,0.0001
23800,0.07063562422990799,-1,0.24724626541137695,0.0001
23900,0.08005033433437347,-1,0.16620463132858276,0.0001
24000,0.06885864585638046,-1,0.17405766248703003,0.0001
24100,0.06790078431367874,-1,0.2170007824897766,0.0001
24200,0.09344235062599182,-1,0.17694091796875,0.0001
24300,0.0938788652420044,-1,0.21678853034973145,0.0001
24400,0.11055108159780502,-1,0.23672324419021606,0.0001
24500,0.07909006625413895,-1,0.26025694608688354,0.0001
24600,0.10427594929933548,-1,0.20347553491592407,0.0001
24700,0.11680513620376587,-1,0.2515230178833008,0.0001
24800,0.09256180375814438,-1,0.20481282472610474,0.0001
24900,0.1187685951590538,-1,0.2253308892250061,0.0001
25000,0.07558219134807587,-1,0.20966839790344238,0.0001
25100,0.11984922736883163,-1,0.2153005599975586,0.0001
25200,0.049403924494981766,-1,0.14706015586853027,0.0001
25300,0.11913726478815079,-1,0.26521968841552734,0.0001
25400,0.11276014894247055,-1,0.28213000297546387,0.0001
25500,0.08724221587181091,-1,0.14011353254318237,0.0001
25600,0.13277433812618256,-1,0.23307561874389648,0.0001
25700,0.11819552630186081,-1,0.3119778037071228,0.0001
25800,0.09721654653549194,-1,0.19350320100784302,0.0001
25900,0.06511795520782471,-1,0.148509681224823,0.0001
26000,0.10064542293548584,-1,0.2054603099822998,0.0001
26100,0.09697077423334122,-1,0.21146535873413086,0.0001
26200,0.07865817099809647,-1,0.2093346118927002,0.0001
26300,0.060805562883615494,-1,0.19315576553344727,0.0001
26400,0.09174653142690659,-1,0.22787046432495117,0.0001
26500,0.09812820702791214,-1,0.2536497116088867,0.0001
26600,0.12350144982337952,-1,0.2626754641532898,0.0001
26700,0.09568855911493301,-1,0.2375238537788391,0.0001
26800,0.09592761844396591,-1,0.22842711210250854,0.0001
26900,0.0831143707036972,-1,0.2143133282661438,0.0001
